  bt7_documentClass  ,  bt7_documentSubClass  ,  bt7_documentSNType  ,Site,  UID_value 
Manufacturing,Specification,Technical specification,BFG Productive Database,RgcVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,RoQVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,RsSVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,hsQVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,hwUVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,h0WVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,h8QVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,xAUVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,xEWVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,xIYVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,xQSVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,xUWVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,xYYVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,xcaVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,xkUVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,xoYVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,xsaVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,xwcVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,x4WVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,x8aVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,BBcVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,BFeVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,BVUVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,BZYVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,BdaVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,BhcVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,B5WVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,B9aVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,RBcVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,hpWVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,htaVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,hxcVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,h1eVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,h9YVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,xBcVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,xFeVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,xNYVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,xRcVo7pC1cuxKD
