  bt7_documentClass  ,  bt7_documentSubClass  ,  bt7_documentSNType  ,Site,  UID_value 
Development,Specification,Information,Kimpo Productive Database,G0fVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,G8RVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,WATVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,WEVVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,WIXVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,WMZVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,WQbVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,WYVVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,WcZVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,WgbVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,WkdVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,WofVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,WwRVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,W0TVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,W4VVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,W8XVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,mAZVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,mEbVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,mIdVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,mMfVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,mURVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,mYTVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,mcVVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,mgXVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,mkZVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,mobVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,msdVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,mwfVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,m4RVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,m8TVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,2AdVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,2IRVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,2MTVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,2QVVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,2UXVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,2YZVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,2cbVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,2gdVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,2kfVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,2sRVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,2wTVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,20VVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,24XVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,28ZVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,GBbVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,GFdVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,GJfVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,GRRVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,GVTVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,GZVVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,wWeVOVCi1cuxKD
Development,Specification,Information,Kimpo Productive Database,RgeZQAXO1cuxKD
Development,Specification,Information,Kimpo Productive Database,wORZ5Z111cuxKD
Development,Specification,Information,Kimpo Productive Database,BvUZudHd1cuxKD
Development,Specification,Information,Kimpo Productive Database,GdXVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,GhZVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,GlbVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,GpdVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,GtfVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,G1RVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,G5TVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,G9VVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,WBXVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,WFZVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,WJbVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,WNdVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,WRfVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,WZRVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,WdTVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,WhVVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,WlXVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,WpZVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,WtbVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,WxdVo7uN1cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,bMZVo7uN1cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,bQdVo7uN1cuxKD
Manufacturing,Specification,Inspection and test document,Kimpo Productive Database,WNSVo7HS1cuxKD
Manufacturing,Specification,Inspection and test document,Kimpo Productive Database,WRWVo7HS1cuxKD
Manufacturing,Specification,Inspection and test document,Kimpo Productive Database,WVYVo7HS1cuxKD
Manufacturing,Condition,Procedure instructions,Kimpo Productive Database,WZaVo7HS1cuxKD
Manufacturing,Condition,Procedure instructions,Kimpo Productive Database,WdcVo7HS1cuxKD
Manufacturing,Condition,Procedure instructions,Kimpo Productive Database,WheVo7HS1cuxKD
Manufacturing,Condition,Procedure instructions,Kimpo Productive Database,WpQVo7HS1cuxKD
Manufacturing,Condition,Procedure instructions,Kimpo Productive Database,WtSVo7HS1cuxKD
Manufacturing,Condition,Procedure instructions,Kimpo Productive Database,WxUVo7HS1cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,$5UVo7HS1cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,$9YVo7HS1cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,PCaVo7HS1cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,PGcVo7HS1cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,PKeVo7HS1cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,PSQVo7HS1cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,PWSVo7HS1cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,gqeVo7pC1cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,wGeVo7pC1cuxKD
---,---,---,Kimpo Productive Database,erbVo7K91cuxKD
---,---,---,Kimpo Productive Database,QFZVo7Mi1cuxKD
---,---,---,Kimpo Productive Database,xQRVo7Mi1cuxKD
---,---,---,Kimpo Productive Database,h6TVo7Mi1cuxKD
---,---,---,Kimpo Productive Database,h_fVo7Mi1cuxKD
---,---,---,Kimpo Productive Database,xGbVo7Mi1cuxKD
---,---,---,Kimpo Productive Database,xOXVo7Mi1cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,xafVo7Mi1cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,xibVo7Mi1cuxKD
---,---,---,Kimpo Productive Database,xqXVo7Mi1cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,xyTVo7Mi1cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,x2fVo7Mi1cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,x_bVo7Mi1cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,BHXVo7Mi1cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,BPTVo7Mi1cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,BTfVo7Mi1cuxKD
---,---,---,Kimpo Productive Database,j2VVo7Mi1cuxKD
Manufacturing,Specification,Inspection and test document,Kimpo Productive Database,VacVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,W_cVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,mGQVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,mKSVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,mOUVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,mSWVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,mWYVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,maaVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,mecVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,mieVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,mqQVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,muSVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,myUVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,m2WVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,m6YVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,m_aVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,2CcVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,2GeVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,2OQVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,2SSVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,JlQdR3rg1cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,2WUVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,2aWVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,2eYVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,2iaVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,2mcVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,2qeVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,2yQVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,22SVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,26UVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,2_WVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,GDYVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,GHaVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,GLcVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,GPeVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,GXQVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,GbSVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,GfUVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,GjWVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,GnYVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,GraVo7W41cuxKD
Manufacturing,Specification,Parts list,Kimpo Productive Database,GvcVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,G3WVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,G7aVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,G$cVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,WDeVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,WLQVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,WPSVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,WTUVo7W41cuxKD
